EmployeeID,Age,Gender,MaritalStatus,DistanceFromHome,Department,JobRole,JobLevel,MonthlyIncome,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,PerformanceRating,JobSatisfaction,WorkLifeBalance,TrainingHours,Overtime,Attrition
EMP0001,58,Male,Single,24,Sales,Sales Executive,3,8285,3,0,3,3,1,1,23,Yes,1
EMP0002,30,Female,Single,15,Sales,Sales Executive,1,3929,6,2,2,3,2,3,16,Yes,1
EMP0003,40,Female,Single,24,Finance,Finance Manager,2,6992,12,1,8,3,4,4,33,Yes,1
EMP0004,32,Female,Single,28,HR,HR Specialist,3,8569,7,5,2,3,3,2,52,No,0
EMP0005,22,Male,Divorced,24,HR,HR Specialist,1,3446,3,2,1,3,1,2,12,No,1
EMP0006,54,Female,Single,21,Finance,Financial Analyst,5,18439,4,2,1,3,4,4,44,No,0
EMP0007,55,Female,Married,8,HR,HR Manager,4,12186,1,0,0,3,4,3,48,Yes,0
EMP0008,47,Female,Divorced,28,IT,Software Engineer,5,19312,8,5,1,3,4,2,39,Yes,1
EMP0009,34,Male,Divorced,30,IT,Data Scientist,4,13039,6,1,2,3,4,4,10,No,0
EMP0010,41,Female,Single,2,HR,HR Manager,2,5175,15,2,4,3,4,3,45,Yes,0
EMP0011,45,Male,Divorced,25,HR,HR Manager,4,12817,11,7,8,4,1,2,24,Yes,1
EMP0012,32,Male,Single,3,IT,DevOps Engineer,2,6854,0,0,0,3,1,4,25,No,0
EMP0013,26,Female,Single,26,Finance,Financial Analyst,1,2693,1,1,1,4,4,3,56,Yes,0
EMP0014,24,Male,Married,24,Sales,Sales Executive,1,3009,1,0,1,3,4,2,27,No,0
EMP0015,46,Male,Single,21,IT,Software Engineer,3,8340,13,7,7,3,4,1,20,No,1
EMP0016,47,Female,Married,23,Finance,Accountant,3,8607,6,0,4,3,4,3,13,Yes,1
EMP0017,51,Male,Single,17,IT,DevOps Engineer,3,9218,2,2,0,4,1,4,25,Yes,1
EMP0018,55,Female,Married,7,Sales,Sales Executive,4,12810,4,2,3,3,1,1,39,Yes,1
EMP0019,34,Male,Married,29,IT,DevOps Engineer,3,8583,5,3,4,3,4,4,10,No,1
EMP0020,26,Female,Single,29,IT,DevOps Engineer,2,5577,3,2,1,3,4,3,26,Yes,1
EMP0021,35,Male,Single,11,HR,HR Manager,3,8330,14,8,11,4,4,1,17,Yes,1
EMP0022,27,Male,Married,19,HR,Recruiter,1,2585,4,2,0,3,2,2,52,Yes,1
EMP0023,44,Male,Single,28,HR,HR Specialist,3,8050,5,5,2,4,4,2,27,Yes,1
EMP0024,20,Female,Single,7,Finance,Financial Analyst,1,3125,0,0,0,3,1,2,35,No,1
EMP0025,35,Female,Divorced,17,Finance,Finance Manager,4,12678,0,0,0,3,3,2,47,No,0
EMP0026,40,Female,Married,20,IT,IT Support,4,12389,8,0,6,3,4,4,53,Yes,1
EMP0027,60,Female,Divorced,11,IT,Data Scientist,5,18133,13,5,6,3,4,2,22,No,0
EMP0028,29,Female,Married,18,IT,Data Scientist,2,5430,6,6,4,3,4,3,38,Yes,1
EMP0029,28,Male,Married,17,Sales,Sales Executive,1,3877,4,1,1,3,1,1,25,No,1
EMP0030,47,Female,Divorced,19,HR,HR Manager,5,18286,15,12,7,3,4,1,58,Yes,1
EMP0031,51,Female,Single,18,HR,HR Specialist,4,12273,14,10,8,3,4,4,56,No,0
EMP0032,28,Female,Married,9,HR,HR Manager,2,6568,8,7,3,3,4,1,55,No,0
EMP0033,52,Male,Single,5,HR,Recruiter,5,17812,6,0,3,4,3,4,39,No,0
EMP0034,42,Male,Divorced,13,Finance,Accountant,3,8611,12,6,8,3,4,2,27,No,0
EMP0035,60,Female,Divorced,6,Finance,Accountant,5,18593,0,0,0,4,4,4,52,Yes,0
EMP0036,47,Male,Single,9,Finance,Financial Analyst,3,8931,10,5,6,3,4,3,15,No,0
EMP0037,40,Male,Divorced,3,IT,Software Engineer,2,5408,0,0,0,3,2,2,40,Yes,1
EMP0038,34,Female,Single,20,IT,DevOps Engineer,3,8221,0,0,0,3,4,3,35,Yes,1
EMP0039,58,Male,Single,23,Sales,Sales Representative,5,19149,3,0,2,4,4,3,14,No,0
EMP0040,49,Male,Married,12,Finance,Finance Manager,3,8891,5,5,4,3,4,4,59,No,0
EMP0041,55,Female,Married,28,HR,HR Specialist,4,13805,14,3,12,4,4,4,52,No,0
EMP0042,38,Male,Married,7,Sales,Account Manager,3,8572,8,8,0,3,1,2,56,No,1
EMP0043,48,Female,Married,26,IT,Software Engineer,4,12453,12,11,3,3,4,4,33,No,0
EMP0044,53,Female,Married,23,Finance,Financial Analyst,4,12514,7,1,3,3,1,4,58,Yes,1
EMP0045,35,Female,Single,27,HR,Recruiter,2,5739,5,2,0,3,3,1,13,No,0
EMP0046,49,Male,Single,19,Sales,Account Manager,4,12902,10,2,0,3,4,1,14,No,0
EMP0047,21,Male,Single,26,Sales,Sales Executive,1,3008,0,0,0,4,4,4,60,Yes,1
EMP0048,46,Female,Divorced,14,Sales,Sales Representative,5,17623,3,1,1,3,4,1,20,Yes,1
